**kern	**kern
*staff2	*staff1
*Ipiano	*Ipiano
*clefF4	*clefG2
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
=	=
4DD#	4gg#
4DD#	4gg#
4DD#	4gg#
*-	*-
